KEY	VALUE TYPE	VALUE DESCRIPTION
album_type	string	The type of the album: one of "album" , "single" , or "compilation".
artists	array of simplified artist objects	The artists of the album. Each artist object includes a link in href to more detailed information about the artist.
available_markets	array of strings	The markets in which the album is available: ISO 3166-1 alpha-2 country codes. Note that an album is considered available in a market when at least 1 of its tracks is available in that market.
copyrights	array of copyright objects	The copyright statements of the album.
external_ids	an external ID object	Known external IDs for the album.
external_urls	an external URL object	Known external URLs for this album.
genres	array of strings	A list of the genres used to classify the album. For example: "Prog Rock" , "Post-Grunge". (If not yet classified, the array is empty.)
href	string	A link to the Web API endpoint providing full details of the album.
id	string	The Spotify ID for the album.
images	array of image objects	The cover art for the album in various sizes, widest first.
label	string	The label for the album.
name	string	The name of the album. In case of an album takedown, the value may be an empty string.
popularity	integer	The popularity of the album. The value will be between 0 and 100, with 100 being the most popular. The popularity is calculated from the popularity of the album’s individual tracks.
release_date	string	The date the album was first released, for example "1981-12-15". Depending on the precision, it might be shown as "1981" or "1981-12".
release_date_precision	string	The precision with which release_date value is known: "year" , "month" , or "day".
tracks	array of simplified track objects inside a paging object	The tracks of the album.
type	string	The object type: “album”
uri	string	The Spotify URI for the album.
